date,startup,vertical,subvertical,city,investors,rounds,amount
2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,Rahul Kayan,Seed Funding,3.696
2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,Nikhil Golcha,Seed Funding,3.696
2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,Shubham Gupta,Seed Funding,3.696
2016-09-12,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,Roy Kwan,Seed Funding,3.696
2016-09-12,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,24.75
2016-09-12,Nykaa,ECommerce,Online Beauty products eTailer,Mumbai,Mariwala Family,Private Equity,101.475
2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,Pradeep Mirani,Seed Funding,2.475
2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,Aqeel Ahmed,Seed Funding,2.475
2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,Ladsariya,Seed Funding,2.475
2016-09-12,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,Nitin Agarwal,Seed Funding,2.475
2016-09-13,Findow,Consumer Internet,Fashion Discovery Mobile app,Bengaluru,Raj Singh Bh,Seed Funding,0.0
2016-09-13,Findow,Consumer Internet,Fashion Discovery Mobile app,Bengaluru,Al,Seed Funding,0.0
2016-09-14,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bengaluru,Balasubramanian Krishnamurthy,Seed Funding,1.2375
2016-09-14,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bengaluru,Sidhartha Hazarika,Seed Funding,1.2375
2016-09-14,LensPick,ECommerce,eyewear eTailer,Bengaluru,Scadea Solutions Inc,Private Equity,0.0
2016-09-15,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,Dheerag Jain,Seed Funding,1.65
2016-09-15,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,Palash Jain,Seed Funding,1.65
2016-09-15,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,\\Xc2\\Xa0 Vivek Bhargava,Seed Funding,1.65
2016-09-15,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,Rahul Singh,Seed Funding,1.65
2016-09-16,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,Ganesh Narasimhan,Seed Funding,0.825
2016-09-16,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,Ramana Thumu,Seed Funding,0.825
2016-09-16,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,Sudhir Mallem,Seed Funding,0.825
2016-09-20,JoeHukum,Technology,Enterprise customer engagement solutions,Delhi,Sumit Jain,Seed Funding,0.0
2016-09-21,PurpleDocs,Consumer Internet,Electronic Health care records platform,Vadodara,Kellygamma,Seed Funding,0.0
2016-09-21,Pepperfry,ECommerce,Furniture eTailer,Mumbai,Goldman Sachs Group,Private Equity,258.225
2016-09-21,Pepperfry,ECommerce,Furniture eTailer,Mumbai,Zodius Technology Fund,Private Equity,258.225
2016-09-21,eQuickies,ECommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,2.4585
2016-09-21,Khel Now,Consumer Internet,Mobile-based social networking platform,Delhi,Anglian Omega Network,Seed Funding,2.8875
2016-09-22,DailyRounds,Consumer Internet,Mobile App for Doctors,Bengaluru,Akusa Holdings,Private Equity,0.0
2016-09-23,CloudCherry,Technology,CRM SAAS Platform,Chennai,Cisco Ventures,Private Equity,49.5
2016-09-23,First Moms Club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,0.0
2016-09-23,inMotion,Technology,Financial platform for daily wage earning communities,Noida,Prashant T,Seed Funding,0.0
2016-09-23,inMotion,Technology,Financial platform for daily wage earning communities,Noida,Gaurav Agarwal,Seed Funding,0.0
2016-09-23,inMotion,Technology,Financial platform for daily wage earning communities,Noida,Gaurav Bhogle,Seed Funding,0.0
2016-09-23,inMotion,Technology,Financial platform for daily wage earning communities,Noida,Shrishti Sahu,Seed Funding,0.0
